Extension,Country,Extensions offered,Price/year,Transfers,Redemption Fee,Notes
ac,Ascension Island,ac,$60 ,Free (no renewal),n/a,
ae,United Arab Emirates,ae,$60 ,Free (no renewal),n/a,Trade $120 (no renewal)
af,Afghanistan,af; com.af; net.af; org.af,$60 ,(no renewal),n/a,
ag,Antigua and Barbuda,ag; com.ag; net.ag; nom.ag; org.ag,$85 ,,n/a,
ai,Anguilla,com.ai; net.ai; off.ai; org.ai,$95 ,,n/a,
am,Armenia,am,$80 ,Free (no renewal),n/a,
ar,Argentina,com.ar,$60 ,(no renewal),n/a,Trade $80 (no renewal)
as,American Samoa,as,$75 ,Free (no renewal),n/a,
at,Austria,at; co.at; or.at,$15 ,,$15 ,
au,Australia,com.au; net.au;,$11 ,Free (no renewal),$11 ,
au,Australia,asn.au; id.au; org.au,$10 ,Free (no renewal),$11 ,
br,Brazil,com.br,$22 ,,n/a,
bz,Belize,bz,$20 ,,$100 ,
ca,Canada,ca,$14 ,,$14 ,
cc,Cocos (Keeling) Islands,cc,$30 ,,$110 ,
cd,Congo (Democratic Republic),cd,$90 ,,n/a,
ch,Switzerland,ch,$20 ,Free (no renewal),$20 ,
cl,Chile,cl,$50 ,Free (no renewal),n/a,Trade $50 (incl. renewal)
cm,Cameroon,cm,$100 ,,n/a,
cm,Cameroon,co.cm; com.cm; net.cm,$20 ,,n/a,
cn,China,cn; com.cn; net.cn; org.cn,$15 ,,$95 ,"Renewals only, no new registrations"
co,Colombia,co,$25 ,,$105 ,
co,Colombia,com.co; net.co; nom.co,$13 ,,$93 ,
cx,Christmas Islands,cx,$35 ,(no renewal),n/a,
cz,Czech Republic,cz,$20 ,Free (no renewal),n/a,Trade $20 (no renewal)
de,Germany,de,$8 ,,$8 ,
dk,Denmark,dk,$15 ,(no renewal),$95 ,
ec,Ecuador,ec; com.ec; net.ec,$75 ,,n/a,Trade $75 (no renewal)
ec,Ecuador,fin.ec; info.ec; med.ec; pro.ec,$50 ,,n/a,Trade $50 (no renewal)
es,Spain,com.es; nom.es; org.es,$10 ,(no renewal),$90 ,
es,Spain,es,$10 ,(no renewal),$90 ,
eu,European Union,eu,$7 ,,$37 ,
fi,Finland,fi,$35 ,Free (no renewal),n/a,Trade $90 (no renewal)
fm,"Micronesia, Federated States of",fm,$75 ,,n/a,
fr,France,fr,$15 ,,$15 ,
gd,Grenada,gd,$40 ,,n/a,
gg,Guernsey,gg; co.gg; net.gg; org.gg,$90 ,,n/a,
gl,Greenland,gl; co.go; com.gl; net.gl; org.gl,$45 ,n/a,n/a,
gs,South Georgia / South Sandwich Islands,gs,$40 ,(no renewal),n/a,
gy,Guyana,gy; co.gy; com.gy; net.gy,$35 ,(no renewal),n/a,
hk,Hong Kong,hk,$60 ,(no renewal),n/a,Trade $150 (1 year)
hm,Heard and McDonald Islands,hm,$85 ,,n/a,Trade $85 (no renewal)
hn,Honduras,hn; com.hn; net.hn; org.hn,$65 ,,n/a,
hr,Croatia,com.hr,$35 ,(no renewal),n/a,Trade $70 (no renewal)
ht,Haiti,ht; com.ht; info.ht; net.ht; org.ht,$90 ,(no renewal),n/a,
hu,Hungary,hu; co.hu,$30 ,,n/a,Trade $40 (1 year)
il,Israel,co.il,$45 ,,n/a,
im,Isle of Man,im; co.im; com.im; net.im; org.im,$15 ,Free (no renewal),n/a,
in,India,co.in; firm.in; gen.in; ind.in; net.in; org.in,$7 ,,$87 ,
in,India,in,$11 ,,$91 ,
io,British Indian Ocean Territory,io,$56 ,Free (no renewal),n/a,
is,Iceland,is,$75 ,,n/a,Trade $75 (no renewal)
it,Italy,it,$15 ,,$15 ,
je,Jersey,je; co.je,$90 ,,n/a,
jp,Japan,jp,$55 ,,n/a,
kg,Kyrgyzstan,kg,$145 ,,n/a,
ki,Kiribati,biz.ki; com.ki; info.ki; mobi.ki; net.ki; tel.ki,$165 ,(no renewal),n/a,
kr,"Korea, Republic of",kr; co.kr,$40 ,,n/a,
la,Laos,la,$35 ,,n/a,
lc,Saint Lucia,lc; co.lc; com.lc; l.lc; net.lc; org.lc; p.lc,$30 ,,n/a,
li,Liechtenstein,li,$20 ,Free (no renewal),$20 ,
lt,Lithuania,lt,$20 ,Free (no renewal),n/a,Trade $20 (no renewal)
lu,Luxembourg,lu,$30 ,n/a,n/a,Trade $30 (incl. renewal)
lv,Latvia,lv; com.lv,$30 ,Free (no renewal),n/a,
ly,Libya,ly; com.ly,$110 ,,n/a,Trade $150 (no renewal)
ma,Morocco,ma; co.ma,$60 ,(no renewal),n/a,Trade $150 (no renewal)
md,Moldova,md,$145 ,,n/a,Trade $145 (no renewal)
me,Montenegro,me,$20 ,,$100 ,
mn,Mongolia,mn,$45 ,,n/a,
ms,Montserrat,ms,$40 ,,n/a,
mu,Mauritius,mu,$65 ,(no renewal),n/a,
mx,Mexico,com.mx,$30 ,,$90 ,
mx,Mexico,mx,$40 ,,$120 ,
my,Malaysia,my; com.my; net.my; org.my,$90 ,Free (no renewal),n/a,
nl,Netherlands,nl,$8 ,,$88 ,
no,Norway,no,$35 ,Free (no renewal),n/a,Trade $35 (incl. renewal)
nu,Niue,nu,$30 ,,n/a,
nz,New Zealand,net.nz; org.nz,$25 ,Free (no renewal),n/a,
pe,Peru,pe; com.pe; net.pe,$60 ,,n/a,
pl,Poland,pl; biz.pl; com.pl; edu.pl; info.pl; net.pl; nom.pl; org.pl; shop.pl; waw.pl,$9 ,Free (no renewal),n/a,Renew $20
pm,St. Pierre and Miquelon,pm,$15 ,,n/a,Trade $15 (incl. renewal)
pr,Puerto Rico,com.pr,$160 ,,n/a,
pt,Portugal,pt; com.pt,$30 ,Free (no renewal),n/a,Trade $30 (no renewal)
qa,Qatar,qa,$45 ,,n/a,
re,Reunion,re,$15 ,,n/a,Trade $15 (incl. renewal)
ro,Romania,ro; com.ro,$70 ,,n/a,Trade $90 (no renewal)
ru,Russian Federation,ru; com.ru,$20 ,n/a,n/a,n/a
sb,Solomon Islands,com.sb; net.sb; org.sb,$75 ,(no renewal),n/a,
sc,Seychelles,sc; com.sc; net.sc; org.sc,$90 ,,n/a,
se,Sweden,se,$20 ,Free (no renewal),n/a,Trade $15 (no renewal)
sg,Singapore,sg,$40 ,Free (no renewal),n/a,Trade $50 (no renewal)
sh,Saint Helena,sh,$60 ,,n/a,
si,Slovenia,si,$25 ,Free (no renewal),n/a,Trade $25 (incl. renewal)
so,Somalia,so; com.so; net.so; org.so,$20 ,,n/a,
sr,Suriname,sr,$120 ,,n/a,Trade $150 (no renewal)
st,Sao Tome and Principe,st,$45 ,Free (no renewal),n/a,
tc,Turks and Caicos Islands,tc,$100 ,Free (no renewal),n/a,"Renewals only, no new registrations"
tf,French Southern Territories,tf,$15 ,,n/a,Trade $15 (incl. renewal)
tk,Tokelau,tk,$20 ,,n/a,
tl,East Timor,tl,$35 ,(no renewal),n/a,
tm,Turkmenistan,tm,$108 ,,n/a,
to,Tonga,to,$40 ,,n/a,Trade $70 (incl. renewal)
tv,Tuvalu,tv,$35 ,,$115 ,
tw,Taiwan,tw; com.tw; idv.tw; org.tw,$25 ,,n/a,
ua,Ukraine,com.ua,$45 ,,n/a,
uk,United Kingdom,co.uk; ltd.uk; me.uk; net.uk; org.uk; plc.uk,$6.50 ,Free (no renewal),n/a,One-year registration $8
uy,Uruguay,com.uy,$125 ,,n/a,
vc,Saint Vincent and the Grenadines,vc; com.vc; net.vc; org.vc,$35 ,,$185 ,
ve,Venezuela,co.ve; com.ve,$85 ,Free (no renewal),n/a,
vg,Virgin Islands (British),vg,$40 ,,n/a,
wf,Wallis and Futuna,wf,$15 ,,n/a,Trade $15 (incl. renewal)
ws,Samoa,ws,$20 ,,$100 ,
yt,Mayotte,yt,$15 ,,n/a,Trade $15 (incl. renewal)
za,South Africa,co.za,$15 ,Free (no renewal),n/a,
